molecule_chembl_id,smiles,IC50 value
CHEMBL554067,C[C@@H](Oc1ccnc2ccccc12)c1cn(-c2ccc(Cl)c(Cl)c2)nn1,9
CHEMBL549610,C[C@@H](Oc1cccc2ncccc12)c1cn(-c2ccc(Cl)cc2)nn1,9
CHEMBL549612,C[C@@H](Oc1cc[n+]([O-])c2ccccc12)c1cn(-c2ccc(Cl)cc2)nn1,13
CHEMBL563640,CC(Oc1cc[n+]([O-])c2ccccc12)c1cn(-c2ccc(Cl)c(Cl)c2)nn1,18
CHEMBL562828,CC(Oc1ccnc2ccccc12)c1cn(-c2ccc(Cl)c(Cl)c2)nn1,20
CHEMBL563523,CC(Oc1ccnc2ccccc12)c1cn(-c2ccc(Cl)cc2)nn1,24
CHEMBL555123,C[C@@H](Oc1cccc2c1ccc[n+]2[O-])c1cn(-c2ccc(Cl)cc2)nn1,24
CHEMBL560438,CC(Oc1cc[n+]([O-])c2ccccc12)c1cn(-c2ccc(Cl)cc2)nn1,29
CHEMBL560237,C[C@@H](Oc1ccnc2ccccc12)c1cn(-c2ccc(C#N)c(Cl)c2)nn1,31
CHEMBL565217,CC(Oc1ccnc2ccccc12)c1cn(-c2ccc(C#N)c(Cl)c2)nn1,40
CHEMBL563524,CC(Oc1cccc2c1ccc[n+]2[O-])c1cn(-c2ccc(Cl)cc2)nn1,44
CHEMBL561424,CC(Oc1ccc(Cl)c2ccccc12)c1cn(-c2ccc(Cl)cc2)nn1,87
CHEMBL560760,CC(Oc1cccc2ccccc12)c1cn(-c2ccc(Cl)cc2)nn1,130
CHEMBL563348,C[C@H](Oc1ccnc2ccccc12)c1cn(-c2ccc(Cl)c(Cl)c2)nn1,130
CHEMBL562829,CC(Oc1ccnc2ccccc12)c1cn(-c2ccc(C#N)cc2)nn1,140
CHEMBL554061,Clc1ccc(-n2cc(COc3ccnc4ccccc34)nn2)cc1,440
CHEMBL549548,C[C@H](Oc1ccnc2ccccc12)c1cn(-c2ccc(C#N)c(Cl)c2)nn1,600
CHEMBL570997,CC(Oc1ccnc2ccccc12)C(=O)Nc1ccc(Cl)cc1,660
CHEMBL557281,CC(C)C(Oc1cccc2ccccc12)C(=O)Nc1ccc(Cl)cc1,710
CHEMBL561635,CC(Oc1cccc2ccccc12)C(=O)Nc1ccc(Cl)cc1,1060
CHEMBL561640,CC(Oc1ccccc1)C(=O)Nc1ccc(Cl)cc1,3300
CHEMBL564187,O=C(Nc1ccc(Cl)cc1)C(Oc1cccc2ccccc12)c1ccccc1,5000
CHEMBL564117,O=C(Nc1ccc(Cl)cc1)C(Oc1cccc2ccccc12)C1CC1,5000
CHEMBL560040,CC(C)C(Oc1cccc2ccccc12)c1cn(-c2ccc(Cl)cc2)nn1,5000
CHEMBL556184,CC(Oc1cccc2ccccc12)c1cn(-c2ccccc2Cl)nn1,5000
CHEMBL1450808,O=C(Cn1c(-c2cscn2)nc2ccccc21)Nc1ccc2ccccc2c1,7
CHEMBL1957252,O=C(Cn1c(-c2nccs2)nc2ccccc21)Nc1ccc2ccccc2c1,8
CHEMBL1957258,O=C(Cn1c(-c2ccccn2)nc2ccccc21)Nc1ccc2ccccc2c1,8
CHEMBL1957251,O=C(Cn1c(-c2nccs2)nc2ccccc21)Nc1ccc(Cl)c(Cl)c1,18
CHEMBL1957254,O=C(Cn1c(-c2cccs2)nc2ccccc21)Nc1ccc(Cl)cc1,20
CHEMBL1957257,O=C(Cn1c(-c2ccccn2)nc2ccccc21)Nc1ccc(Cl)c(Cl)c1,22
CHEMBL1957259,N#Cc1cc(NC(=O)Cn2c(-c3ccccn3)nc3ccccc32)ccc1Cl,22
CHEMBL1957250,CC(C(=O)Nc1ccc(Cl)cc1)n1c(-c2nccs2)nc2ccccc21,23
